,종목코드,종목명,유동비율,부채비율,영업이익률,매출액 성장률,영업이익 성장률,당기순이익 성장률
0,00787057,휴맥스,-,-,-25.635106514114103,-33.1%,흑자전환,적자전환
1,00244561,인터파크,-,-,26.730612137342224,-4.3%,-92.7%,94.1%
2,00867973,서남,-,-,-140.09111617312072,-390.3%,49.3%,31.6%
3,00374738,위세아이텍,-,-,-,-,-,-
4,00490090,이지케어텍,-,-,22.470433639947437,7.8%,47.4%,213.4%
5,00375931,인선이엔티,-,-,21.715257907354417,+26.4%,+25.8%,+51.4%
6,01152470,펄어비스,-,-,51.45548979345331,-13.6%,-29.9%,-
7,01275665,리메드,-,-,68.35256567640559,-55.1%,적자전환,적자전환
8,01275665,리메드,-,-,72.80529671407552,-55.2%,적자전환,적자전환
9,00456218,모두투어,-,-,-1.5546176926374098,-92.75%,+26.12%,-605.33%
10,00456218,모두투어,-,-,-3.762977553449054,-94.78%,+60.53%,-650.91%
11,01222432,에스제이그룹,-,-,-57.2987721691678,-2.5%,9.3%,12.8%
12,00228059,휴온스글로벌,-,-,22.265082548989355,15.7%,21.7%,139.8%
13,00228059,휴온스글로벌,-,-,43.36175395858709,23.2%,89.2%,-23.6%
14,01159853,휴온스,-,-,28.646748681898064,1.7%,3.6%,139.6%
15,01159853,휴온스,-,-,14.057507987220447,1.7%,1.7%,46.2%
16,00614478,휴메딕스,-,-,23.759141123385717,57.9%,77.0%,51.8%
17,00614478,휴메딕스,-,-,17.292817679558013,35.7%,34.9%,60.4%
18,00965813,미투온,-,-,55.06088280060882,-7.8%,-13.1%,-32.0%
19,01416235,미투젠,-,-,760.0985221674878,-0.7%,-13.1%,-9.6%
20,00877174,엠브레인,-,-,-0.3494060097833683,18.42%,-0.21%,-2.98%
